word;exercise
darüber;4/9b
pronominaladverb, das, -ien;4/9b
befriedigend;4/9c
beziehen (sich) (auf + a.), er bezieht, bezog, hat bezogen;4/9c
danach (die freie stelle? ja, frau markovic hat sich danach erkundigt.);4/9c
ansicht, die, -en (ich bin der ansicht, dass …);5/10
argument, das, -e;5/10
standpunkt, der, -e;5/10
stehen (2), er steht, stand, hat gestanden (ich stehe auf dem standpunkt, dass …);5/10
überzeugt sein (von + d.);5/10
umsonst;5/10
uni-mensa, die, -mensen;5/10
völlig;5/10
widersprechen, er widerspricht, widersprach, hat widersprochen;5/10
blitz, der, -e;5/11a
blitzen;5/11a
donner, der, -;5/11a
donnern;5/11a
feucht;5/11a
hageln;5/11a
mild;5/11a
neblig;5/11a
nieseln;5/11a
regnerisch;5/11a
schwül;5/11a
stürmisch;5/11a
traumwetter, das (sg.);5/11a
wolkig;5/11a
wettervorhersage, die, -n;5/11b
vorhersage, die, -n;5/11c
wetterbesserung, die (sg.);5/11c
gedächtnis, das (sg.);5/12a
herbststurm, der, -e;5/12a
schneesturm, der, -e;5/12a
sturm, der, -e;5/12a
stürmen;5/12a
auf|klären;5/13a
beteiligen (sich) (an + d.);5/13a
bevölkerung, die, -en;5/13a
bürger, der, -;5/13a
bürgerin, die, -nen;5/13a
dienen (als + n.);5/13a
drehen;5/13a
engagement, das, -s;5/13a
extra;5/13a
geschützt;5/13a
hauskatze, die, -n;5/13a
hilflos;5/13a
idee, die, -n (auf eine idee kommen);5/13a
immer wieder;5/13a
infomaterial, das, -ien;5/13a
katzenfreund, der, -e;5/13a
katzenfreundin, die, -nen;5/13a
klima, das (sg.);5/13a
ländlich;5/13a
mitfahrbank, die, -e;5/13a
nachbardorf, das, -er;5/13a
naturfreund, der, -e;5/13a
naturfreundin, die, -nen;5/13a
pflanzen;5/13a
schaden;5/13a
schwierigkeit, die, -en;5/13a
strauch, der, -er;5/13a
themenwoche, die, -n;5/13a
verteilen;5/13a
vorort, der, -e;5/13a
wildkatze, die, -n;5/13a
zählen (2) (kannst du auf arabisch bis zehn zählen?);5/13a
zeichen, das, -;5/13a
an|schließen (2) (sich), er schließt an, schloss an, hat angeschlossen (beim plogging kann man sich einer gruppe anschließen.);5/13c
auf|heben, er hebt auf, hob auf, hat aufgehoben;5/13c
aufwändig;5/13c
geschwindigkeit, die, -en;5/13c
plogging, das (sg.);5/13c
teilnehmer, der, -;5/13e
teilnehmerin, die, -nen;5/13e
abfall, der, -e;5/1a
autofahrer, der, -;5/1a
autofahrerin, die, -nen;5/1a
bio- (bio-produkte);5/1a
digital;5/1a
durchschnitt, der (sg.);5/1a
europäisch;5/1a
fleischkonsum, der (sg.);5/1a
huhn, das, -er;5/1a
liegen (2), er liegt, lag, hat gelegen (der marktanteil von bio-fleisch liegt nur bei zwei prozent.);5/1a
marktanteil, der, -e;5/1a
mit|rechnen;5/1a
papierverbrauch, der (sg.);5/1a
rekord, der, -e;5/1a
rind, das, -er;5/1a
trinkwasser, das (sg.);5/1a
verbrauchen;5/1a
verpackungsmüll, der (sg.);5/1a
bioprodukt, das, -e;5/2a
recycling, das (sg.);5/2a
region, die, -en;5/2a
regional;5/2a
schützen (vor + d.);5/2a
transportweg, der, -e;5/2a
abgas, das, -e;5/2b
auf|halten (2), er hält auf, hielt auf, hat aufgehalten (wir müssen die klimaerwärmung aufhalten!);5/2b
bekämpfen;5/2b
beobachten;5/2b
bio;5/2b
durch|setzen;5/2b
durch|streichen, er streicht durch, strich durch, hat durchgestrichen;5/2b
erde, die (sg.);5/2b
erforschen;5/2b
ergreifen, er ergreift, ergriff, hat ergriffen;5/2b
ernte, die, -n;5/2b
ernten;5/2b
extrem;5/2b
fördern;5/2b
fortschritt, der, -e;5/2b
herkunft, die, -e;5/2b
klimaerwärmung, die (sg.);5/2b
klimawandel, der (sg.);5/2b
marke, die, -n;5/2b
maßnahme, die, -n;5/2b
messen, er misst, maß, hat gemessen;5/2b
ökologisch;5/2b
ressource, die, -n;5/2b
schädlich;5/2b
stoppen;5/2b
umweltschutz, der (sg.);5/2b
umweltverschmutzung, die (sg.);5/2b
unterstützen;5/2b
ursache, die, -n;5/2b
vernichten;5/2b
verringern;5/2b
verschwenden;5/2b
zerstören;5/2b
begriff, der, -e;5/3
berechnen;5/3
fußabdruck, der, -e;5/3
geschirrspüler, der, -;5/4a
glasflasche, die, -n;5/4a
öko-duell, das, -e;5/4a
plastikflasche, die, -n;5/4a
allerdings;5/4b
bedarf, der (sg.);5/4b
duschzeit, die, -en;5/4b
effizient;5/4b
einwegflasche, die, -n;5/4b
erwärmen;5/4b
fall, der, -e (in jedem fall);5/4b
gedruckt;5/4b
kommen (3) (zu + d.), er kommt, kam, ist gekommen (die diskussion kam leider zu keinem ergebnis.);5/4b
korrekt;5/4b
mehrwegflasche, die, -n;5/4b
ökobilanz, die, -en;5/4b
resultat, das, -e;5/4b
seite, die, -n (mit einer spülmaschine sind sie ökologisch auf der sicheren seite.);5/4b
treffen, er trifft, traf, hat getroffen (eine wahl treffen);5/4b
